UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA 
SP,35,53302,Tambaú,23.182
SP,35,53401,Tanabi,25.830
SP,35,53500,Tapiraí,7.850
SP,35,53609,Tapiratiba,12.970
SP,35,53658,Taquaral,2.810
SP,35,53708,Taquaritinga,56.984
SP,35,53807,Taquarituba,23.180
SP,35,53856,Taquarivaí,5.792
SP,35,53906,Tarabai,7.395
SP,35,53955,Tarumã,14.812
SP,35,54003,Tatuí,120.533
SP,35,54102,Taubaté,311.854
SP,35,54201,Tejupá,4.574
SP,35,54300,Teodoro Sampaio,23.019
SP,35,54409,Terra Roxa,9.302
SP,35,54508,Tietê,41.622
SP,35,54607,Timburi,2.663
SP,35,54656,Torre de Pedra,2.401
SP,35,54706,Torrinha,9.963
SP,35,54755,Trabiju,1.709
SP,35,54805,Tremembé,46.642
SP,35,54904,Três Fronteiras,5.781
SP,35,54953,Tuiuti,6.808
SP,35,55000,Tupã,65.477
SP,35,55109,Tupi Paulista,15.404
SP,35,55208,Turiúba,2.012
SP,35,55307,Turmalina,1.759
SP,35,55356,Ubarana,6.216
SP,35,55406,Ubatuba,89.747
SP,35,55505,Ubirajara,4.754
SP,35,55604,Uchoa,10.068
SP,35,55703,União Paulista,1.823
SP,35,55802,Urânia,9.108
SP,35,55901,Uru,1.177
SP,35,56008,Urupês,13.727
SP,35,56107,Valentim Gentil,13.115
SP,35,56206,Valinhos,127.123
SP,35,56305,Valparaíso,26.130
SP,35,56354,Vargem,10.378
SP,35,56404,Vargem Grande do Sul,42.573
SP,35,56453,Vargem Grande Paulista,51.702
SP,35,56503,Várzea Paulista,120.572
SP,35,56602,Vera Cruz,10.864
SP,35,56701,Vinhedo,77.308
SP,35,56800,Viradouro,18.775
SP,35,56909,Vista Alegre do Alto,8.626
SP,35,56958,Vitória Brasil,1.834
SP,35,57006,Votorantim,121.331
SP,35,57105,Votuporanga,93.736
SP,35,57154,Zacarias,2.684
SP,35,57204,Chavantes,12.418
SP,35,57303,Estiva Gerbi,11.198
